post_id,factcheck_id,post_language,random_examples_with_ids
22531,9368,slk,"[(4555, 193594, 'No'), (4883, 70380, 'Yes'), (4591, 7349, 'Yes'), (17514, 163792, 'No'), (8782, 155418, 'Yes'), (8782, 120872, 'Yes'), (22806, 187902, 'No'), (17514, 165187, 'No'), (25453, 193586, 'Yes'), (585, 113990, 'No')]"
22531,59885,slk,"[(17514, 165187, 'No'), (25453, 193586, 'Yes'), (17514, 163792, 'No'), (8782, 120872, 'Yes'), (17514, 129484, 'Yes'), (8782, 155418, 'Yes'), (3705, 180390, 'No'), (4555, 193594, 'No'), (4591, 7349, 'Yes'), (17514, 21196, 'No')]"
22531,138995,slk,"[(17514, 165187, 'No'), (4591, 7349, 'Yes'), (4555, 193594, 'No'), (3705, 176957, 'No'), (3705, 176954, 'No'), (22806, 158635, 'Yes'), (8782, 155418, 'Yes'), (17514, 129484, 'Yes'), (3705, 180390, 'No'), (25453, 193586, 'Yes')]"
22531,95121,slk,"[(25453, 193586, 'Yes'), (3705, 176957, 'No'), (4555, 193594, 'No'), (17514, 129484, 'Yes'), (3705, 176954, 'No'), (8782, 120872, 'Yes'), (17514, 187295, 'No'), (17514, 165187, 'No'), (23893, 143199, 'Yes'), (7496, 18473, 'Yes')]"
22531,146878,slk,"[(4555, 193594, 'No'), (17514, 165187, 'No'), (4591, 7349, 'Yes'), (8782, 120872, 'Yes'), (3705, 180390, 'No'), (26746, 205707, 'No'), (8782, 164909, 'Yes'), (2727, 205707, 'No'), (8782, 155418, 'Yes'), (7496, 117373, 'Yes')]"
22531,145064,slk,"[(25453, 8144, 'Yes'), (16101, 99867, 'Yes'), (17514, 129484, 'Yes'), (17514, 172158, 'No'), (22806, 187902, 'No'), (25453, 193586, 'Yes'), (17514, 165187, 'No'), (17514, 163792, 'No'), (4555, 193594, 'No'), (4591, 7349, 'Yes')]"
22531,55378,slk,"[(3705, 176958, 'No'), (25453, 8144, 'Yes'), (4591, 7349, 'Yes'), (25453, 193586, 'Yes'), (4555, 193594, 'No'), (3705, 176957, 'No'), (17514, 165187, 'No'), (17514, 21196, 'No'), (8782, 120872, 'Yes'), (9690, 17193, 'Yes')]"
22531,100203,slk,"[(4883, 12970, 'Yes'), (22806, 158635, 'Yes'), (25453, 193430, 'No'), (8782, 155418, 'Yes'), (25453, 193586, 'Yes'), (4555, 193594, 'No'), (17514, 129484, 'Yes'), (3705, 176954, 'No'), (17514, 165187, 'No'), (3705, 180390, 'No')]"
22531,108320,slk,"[(3705, 176957, 'No'), (4883, 70380, 'Yes'), (22806, 187902, 'No'), (4883, 124552, 'Yes'), (585, 113990, 'No'), (17514, 187295, 'No'), (25453, 193586, 'Yes'), (17514, 165187, 'No'), (4883, 123386, 'Yes'), (4883, 12970, 'Yes')]"
22531,92221,slk,"[(17514, 21196, 'No'), (4883, 124552, 'Yes'), (8782, 120872, 'Yes'), (17514, 165187, 'No'), (4591, 7349, 'Yes'), (25453, 193586, 'Yes'), (4555, 193594, 'No'), (8782, 120845, 'No'), (4883, 70380, 'Yes'), (18703, 52260, 'No')]"
4100,8369,ara,"[(11027, 122835, 'Yes'), (11027, 63859, 'Yes'), (4591, 101990, 'Yes'), (11027, 101780, 'Yes'), (8707, 81414, 'No'), (25678, 93990, 'No'), (26746, 45440, 'No'), (22806, 158635, 'Yes'), (3705, 180390, 'No'), (4531, 158866, 'No')]"
4100,172272,ara,"[(11027, 118912, 'Yes'), (18788, 193543, 'No'), (3705, 180390, 'No'), (16449, 118598, 'Yes'), (11027, 84344, 'No'), (3705, 120275, 'No'), (3705, 54274, 'No'), (11027, 122835, 'Yes'), (11027, 101780, 'Yes'), (22806, 158635, 'Yes')]"
4100,174041,ara,"[(3705, 79706, 'No'), (11027, 101780, 'Yes'), (11027, 16151, 'No'), (7496, 18473, 'Yes'), (3705, 180390, 'No'), (26746, 45440, 'No'), (11027, 118912, 'Yes'), (585, 113990, 'No'), (11027, 122835, 'Yes'), (22806, 158635, 'Yes')]"
4100,173833,ara,"[(7496, 83000, 'Yes'), (4531, 158866, 'No'), (7496, 18473, 'Yes'), (11027, 101780, 'Yes'), (22806, 158635, 'Yes'), (4555, 193594, 'No'), (3705, 51048, 'No'), (3705, 180390, 'No'), (26746, 45440, 'No'), (22806, 157865, 'Yes')]"
4100,163969,ara,"[(16449, 118598, 'Yes'), (3705, 180390, 'No'), (3705, 54274, 'No'), (11027, 22330, 'No'), (22806, 158635, 'Yes'), (3705, 50655, 'No'), (11027, 63859, 'Yes'), (4531, 158866, 'No'), (11027, 101780, 'Yes'), (11027, 122835, 'Yes')]"
4100,7741,ara,"[(4591, 101990, 'Yes'), (4591, 26675, 'Yes'), (11027, 101780, 'Yes'), (3705, 176957, 'No'), (7496, 18473, 'Yes'), (3705, 79706, 'No'), (26746, 45440, 'No'), (3705, 176954, 'No'), (4531, 158866, 'No'), (7496, 83000, 'Yes')]"
4100,173328,ara,"[(16449, 161461, 'No'), (22806, 158635, 'Yes'), (11027, 101780, 'Yes'), (22806, 187902, 'No'), (16449, 118598, 'Yes'), (11027, 124285, 'No'), (4531, 158866, 'No'), (11027, 118912, 'Yes'), (11027, 122835, 'Yes'), (11027, 84344, 'No')]"
4100,164766,ara,"[(26746, 205707, 'No'), (9872, 45433, 'Yes'), (22806, 158635, 'Yes'), (16449, 118598, 'Yes'), (26746, 45440, 'No'), (26746, 166697, 'No'), (9872, 45434, 'Yes'), (4531, 158866, 'No'), (25678, 93990, 'No'), (7496, 83000, 'Yes')]"
4100,172237,ara,"[(22806, 158635, 'Yes'), (4555, 193594, 'No'), (3705, 50655, 'No'), (7496, 18473, 'Yes'), (11027, 101780, 'Yes'), (22806, 187902, 'No'), (4531, 158866, 'No'), (11027, 122835, 'Yes'), (3705, 180390, 'No'), (11027, 63859, 'Yes')]"
4100,174022,ara,"[(11027, 101780, 'Yes'), (25678, 93990, 'No'), (3705, 79706, 'No'), (4555, 193594, 'No'), (11027, 122835, 'Yes'), (16449, 118598, 'Yes'), (4591, 197399, 'Yes'), (22806, 158635, 'Yes'), (22806, 187902, 'No'), (4531, 158866, 'No')]"
4100,44204,ara,"[(4531, 158866, 'No'), (3705, 167395, 'No'), (22806, 158635, 'Yes'), (11027, 101780, 'Yes'), (16449, 118598, 'Yes'), (3705, 176954, 'No'), (26746, 45440, 'No'), (11027, 22330, 'No'), (4591, 7349, 'Yes'), (11027, 122835, 'Yes')]"
4100,155777,ara,"[(11027, 122835, 'Yes'), (7496, 18473, 'Yes'), (3705, 176957, 'No'), (11027, 101780, 'Yes'), (3705, 167395, 'No'), (4591, 26675, 'Yes'), (4555, 193594, 'No'), (22806, 158635, 'Yes'), (3705, 180390, 'No'), (3705, 176954, 'No')]"
4100,146905,ara,"[(11027, 122835, 'Yes'), (3705, 50655, 'No'), (16449, 118598, 'Yes'), (4531, 158866, 'No'), (3705, 180390, 'No'), (4591, 197399, 'Yes'), (4555, 193594, 'No'), (22806, 187902, 'No'), (11027, 101780, 'Yes'), (22806, 158635, 'Yes')]"
4100,80372,ara,"[(4555, 193594, 'No'), (3705, 167395, 'No'), (22806, 187902, 'No'), (4591, 26675, 'Yes'), (11027, 101780, 'Yes'), (7496, 83000, 'Yes'), (4531, 158866, 'No'), (7496, 18473, 'Yes'), (22806, 158635, 'Yes'), (3705, 79706, 'No')]"
16389,35004,eng,"[(11027, 118912, 'Yes'), (11769, 71386, 'Yes'), (6695, 93973, 'No'), (4591, 7349, 'Yes'), (4555, 193594, 'No'), (16449, 118598, 'Yes'), (4591, 101990, 'Yes'), (11027, 53844, 'No'), (4591, 163535, 'No'), (4531, 158866, 'No')]"
16389,42129,eng,"[(4555, 193594, 'No'), (26746, 45440, 'No'), (4591, 101990, 'Yes'), (11027, 118912, 'Yes'), (16449, 118598, 'Yes'), (11027, 63873, 'Yes'), (11769, 71386, 'Yes'), (11027, 53844, 'No'), (7330, 49840, 'No'), (6695, 93973, 'No')]"
16389,42130,eng,"[(4555, 193594, 'No'), (11027, 63873, 'Yes'), (16449, 118598, 'Yes'), (7330, 49840, 'No'), (6695, 93973, 'No'), (11027, 118912, 'Yes'), (4591, 101990, 'Yes'), (11769, 71386, 'Yes'), (11027, 53844, 'No'), (4591, 31733, 'No')]"
16389,153203,eng,"[(6695, 93973, 'No'), (11027, 63873, 'Yes'), (7496, 18473, 'Yes'), (4591, 26675, 'Yes'), (4591, 163535, 'No'), (4591, 101990, 'Yes'), (19781, 64127, 'No'), (4555, 193594, 'No'), (11027, 118912, 'Yes'), (19781, 64150, 'No')]"
16389,42128,eng,"[(4591, 196213, 'No'), (6695, 93973, 'No'), (7496, 18473, 'Yes'), (11027, 118912, 'Yes'), (19781, 64127, 'No'), (7330, 49840, 'No'), (4591, 7349, 'Yes'), (4591, 173011, 'No'), (4591, 197399, 'Yes'), (4591, 101990, 'Yes')]"
16389,69226,eng,"[(11027, 118912, 'Yes'), (4591, 21788, 'No'), (26746, 45440, 'No'), (4591, 197399, 'Yes'), (6695, 93973, 'No'), (4591, 7349, 'Yes'), (4555, 193594, 'No'), (4591, 101990, 'Yes'), (16449, 118598, 'Yes'), (4591, 163535, 'No')]"
16389,199280,eng,"[(4555, 193594, 'No'), (3705, 176954, 'No'), (3705, 176957, 'No'), (6695, 93973, 'No'), (11027, 118912, 'Yes'), (11027, 63873, 'Yes'), (4591, 101990, 'Yes'), (4591, 163535, 'No'), (4591, 26675, 'Yes'), (4591, 197399, 'Yes')]"
16389,196266,eng,"[(19781, 120676, 'No'), (16449, 118598, 'Yes'), (11027, 22330, 'No'), (6695, 147895, 'No'), (4591, 30159, 'No'), (4591, 7349, 'Yes'), (4591, 101990, 'Yes'), (11027, 118912, 'Yes'), (4591, 176326, 'No'), (7496, 18473, 'Yes')]"
16389,33448,eng,"[(3705, 167395, 'No'), (11027, 101780, 'Yes'), (4591, 193490, 'No'), (4591, 101990, 'Yes'), (11027, 118912, 'Yes'), (4591, 7349, 'Yes'), (6695, 93973, 'No'), (4591, 163535, 'No'), (4555, 193594, 'No'), (4591, 197399, 'Yes')]"
16389,197958,eng,"[(11027, 118912, 'Yes'), (4591, 101990, 'Yes'), (4591, 193490, 'No'), (4591, 158629, 'No'), (19781, 120676, 'No'), (11027, 63859, 'Yes'), (19781, 50687, 'No'), (4591, 7349, 'Yes'), (16449, 118598, 'Yes'), (19781, 64150, 'No')]"
4106,76356,eng,"[(18703, 52260, 'No'), (585, 113990, 'No'), (22806, 187902, 'No'), (22806, 158635, 'Yes'), (7496, 18473, 'Yes'), (7496, 117373, 'Yes'), (9872, 71598, 'Yes'), (3705, 176957, 'No'), (9690, 17193, 'Yes'), (3705, 176954, 'No')]"
4106,198246,eng,"[(9690, 17193, 'Yes'), (18703, 52260, 'No'), (585, 113990, 'No'), (22806, 158635, 'Yes'), (7496, 117373, 'Yes'), (3705, 176957, 'No'), (7496, 18473, 'Yes'), (3705, 176954, 'No'), (7496, 15833, 'Yes'), (22806, 187902, 'No')]"
4106,74927,eng,"[(22806, 202850, 'No'), (22806, 162883, 'Yes'), (22806, 173368, 'Yes'), (585, 113990, 'No'), (22806, 187902, 'No'), (22806, 158635, 'Yes'), (26746, 205690, 'No'), (7496, 18473, 'Yes'), (26746, 166697, 'No'), (22806, 157865, 'Yes')]"
4106,100024,eng,"[(3705, 176957, 'No'), (22806, 162883, 'Yes'), (22806, 157865, 'Yes'), (22806, 173368, 'Yes'), (585, 113990, 'No'), (3705, 176954, 'No'), (7496, 18473, 'Yes'), (22806, 187902, 'No'), (20306, 24888, 'No'), (22806, 158635, 'Yes')]"
4106,63606,eng,"[(3705, 176954, 'No'), (3705, 176957, 'No'), (7496, 18473, 'Yes'), (22806, 157865, 'Yes'), (22806, 158635, 'Yes'), (7496, 15833, 'Yes'), (18703, 52260, 'No'), (22806, 173368, 'Yes'), (22806, 187902, 'No'), (585, 113990, 'No')]"
4106,11720,eng,"[(26746, 165768, 'No'), (22806, 173368, 'Yes'), (22806, 158635, 'Yes'), (9872, 71597, 'Yes'), (22806, 157865, 'Yes'), (4555, 193594, 'No'), (585, 113990, 'No'), (11027, 101780, 'Yes'), (22806, 187902, 'No'), (1641, 174054, 'No')]"
4106,46101,eng,"[(7496, 83000, 'Yes'), (7496, 18473, 'Yes'), (22806, 187902, 'No'), (25453, 193586, 'Yes'), (3705, 176957, 'No'), (3705, 176954, 'No'), (585, 113990, 'No'), (4591, 26675, 'Yes'), (9690, 17193, 'Yes'), (4555, 193594, 'No')]"
4106,20478,eng,"[(7496, 18473, 'Yes'), (585, 113990, 'No'), (26746, 165768, 'No'), (8467, 177692, 'Yes'), (18703, 52260, 'No'), (22806, 173368, 'Yes'), (22806, 158635, 'Yes'), (3705, 176954, 'No'), (9690, 17193, 'Yes'), (22806, 187902, 'No')]"
4106,76689,eng,"[(3705, 176957, 'No'), (585, 113990, 'No'), (22806, 187902, 'No'), (9872, 71597, 'Yes'), (22806, 158635, 'Yes'), (9872, 71598, 'Yes'), (9690, 17193, 'Yes'), (3705, 167395, 'No'), (3705, 176954, 'No'), (9872, 45433, 'Yes')]"
8203,42630,deu,"[(3705, 176957, 'No'), (3705, 176954, 'No'), (22806, 187902, 'No'), (25453, 193586, 'Yes'), (8782, 120872, 'Yes'), (7496, 18473, 'Yes'), (22806, 158635, 'Yes'), (16449, 9877, 'Yes'), (4555, 193594, 'No'), (25453, 193430, 'No')]"
8203,45127,deu,"[(22806, 162883, 'Yes'), (4555, 193594, 'No'), (9690, 17193, 'Yes'), (22806, 158635, 'Yes'), (3705, 176957, 'No'), (22806, 187902, 'No'), (3705, 176954, 'No'), (22806, 157865, 'Yes'), (22806, 64286, 'No'), (22806, 173368, 'Yes')]"
8203,154029,deu,"[(4591, 7349, 'Yes'), (3705, 176957, 'No'), (22806, 157865, 'Yes'), (22806, 187902, 'No'), (4555, 193594, 'No'), (22806, 158635, 'Yes'), (25453, 193586, 'Yes'), (3705, 176954, 'No'), (8782, 120872, 'Yes'), (8782, 113887, 'No')]"
8203,44091,deu,"[(7496, 18473, 'Yes'), (4555, 193594, 'No'), (22806, 187902, 'No'), (3705, 176954, 'No'), (25453, 193430, 'No'), (22806, 157865, 'Yes'), (25453, 193586, 'Yes'), (3705, 176956, 'No'), (8782, 155418, 'Yes'), (8782, 120872, 'Yes')]"
8203,45381,deu,"[(8782, 120872, 'Yes'), (22806, 187902, 'No'), (7496, 18473, 'Yes'), (22806, 64286, 'No'), (4555, 193594, 'No'), (3705, 176956, 'No'), (25453, 193586, 'Yes'), (9690, 17193, 'Yes'), (3705, 176954, 'No'), (8782, 155418, 'Yes')]"
8203,42557,deu,"[(22806, 158635, 'Yes'), (8782, 113887, 'No'), (8782, 120872, 'Yes'), (3705, 176954, 'No'), (4555, 193594, 'No'), (22806, 157865, 'Yes'), (8782, 155418, 'Yes'), (25453, 193586, 'Yes'), (3705, 176957, 'No'), (22806, 187902, 'No')]"
8203,139963,deu,"[(4555, 193594, 'No'), (25453, 193586, 'Yes'), (8782, 120872, 'Yes'), (3705, 176957, 'No'), (22806, 120630, 'Yes'), (25453, 193430, 'No'), (3705, 176954, 'No'), (22806, 158635, 'Yes'), (22806, 173368, 'Yes'), (22806, 187902, 'No')]"
8203,70009,deu,"[(4555, 193594, 'No'), (22806, 157865, 'Yes'), (8782, 120872, 'Yes'), (3705, 176957, 'No'), (22806, 158635, 'Yes'), (3705, 176956, 'No'), (22806, 187902, 'No'), (8782, 155418, 'Yes'), (25453, 193586, 'Yes'), (3705, 176954, 'No')]"
8203,49820,deu,"[(22806, 158635, 'Yes'), (3705, 176957, 'No'), (25453, 193586, 'Yes'), (3705, 176954, 'No'), (8782, 120872, 'Yes'), (22806, 157865, 'Yes'), (7496, 18473, 'Yes'), (22806, 187902, 'No'), (4555, 193594, 'No'), (585, 113990, 'No')]"
8203,45489,deu,"[(22806, 158635, 'Yes'), (22806, 187902, 'No'), (4555, 193594, 'No'), (8782, 120872, 'Yes'), (3705, 79706, 'No'), (3705, 176957, 'No'), (25453, 193586, 'Yes'), (3705, 176954, 'No'), (22806, 157865, 'Yes'), (8782, 155418, 'Yes')]"
8203,196287,deu,"[(22806, 187902, 'No'), (3705, 79706, 'No'), (3705, 176954, 'No'), (7496, 83000, 'Yes'), (25453, 193586, 'Yes'), (22806, 158635, 'Yes'), (4555, 193594, 'No'), (3705, 180390, 'No'), (22806, 162883, 'Yes'), (22806, 157865, 'Yes')]"
8203,129531,deu,"[(22806, 187902, 'No'), (25453, 193586, 'Yes'), (22806, 158635, 'Yes'), (3705, 177038, 'No'), (4591, 7349, 'Yes'), (22806, 157865, 'Yes'), (4555, 193594, 'No'), (16449, 118598, 'Yes'), (3705, 176954, 'No'), (3705, 176957, 'No')]"
8203,40314,deu,"[(3705, 176956, 'No'), (16449, 118598, 'Yes'), (22806, 157865, 'Yes'), (22806, 187902, 'No'), (8782, 155418, 'Yes'), (4531, 158866, 'No'), (3705, 54274, 'No'), (22806, 158635, 'Yes'), (22806, 173368, 'Yes'), (4555, 193594, 'No')]"
8203,3361,deu,"[(22806, 158635, 'Yes'), (3705, 180390, 'No'), (22806, 192957, 'No'), (4555, 193594, 'No'), (7496, 18473, 'Yes'), (25453, 193430, 'No'), (22806, 157865, 'Yes'), (25453, 193586, 'Yes'), (22806, 187902, 'No'), (16449, 118598, 'Yes')]"
8203,33505,deu,"[(20050, 193423, 'No'), (22806, 162883, 'Yes'), (3705, 54274, 'No'), (22806, 158635, 'Yes'), (4555, 193594, 'No'), (22806, 157865, 'Yes'), (25453, 193430, 'No'), (25453, 193586, 'Yes'), (16449, 118598, 'Yes'), (22806, 187902, 'No')]"
8203,52455,deu,"[(7496, 18473, 'Yes'), (4555, 193594, 'No'), (22806, 64286, 'No'), (22806, 162883, 'Yes'), (22806, 157322, 'No'), (22806, 158635, 'Yes'), (25453, 193586, 'Yes'), (25453, 193430, 'No'), (22806, 157865, 'Yes'), (22806, 187902, 'No')]"
8203,18270,deu,"[(25453, 193586, 'Yes'), (25453, 193430, 'No'), (22806, 157865, 'Yes'), (22806, 64286, 'No'), (4555, 193594, 'No'), (3705, 50655, 'No'), (22806, 158635, 'Yes'), (7496, 83000, 'Yes'), (22806, 187902, 'No'), (16449, 118598, 'Yes')]"
8203,102491,deu,"[(22806, 157865, 'Yes'), (7496, 83000, 'Yes'), (22806, 157323, 'No'), (25453, 193586, 'Yes'), (16449, 118598, 'Yes'), (22806, 64286, 'No'), (4555, 193594, 'No'), (22806, 187902, 'No'), (22806, 158635, 'Yes'), (3705, 176954, 'No')]"
8203,34414,deu,"[(16449, 118598, 'Yes'), (22806, 64286, 'No'), (22806, 173368, 'Yes'), (22806, 157865, 'Yes'), (25453, 193586, 'Yes'), (22806, 187902, 'No'), (22806, 158635, 'Yes'), (4555, 193594, 'No'), (25678, 93990, 'No'), (22806, 64285, 'No')]"
8203,34512,deu,"[(25453, 193586, 'Yes'), (3705, 176954, 'No'), (22806, 157865, 'Yes'), (22806, 187902, 'No'), (4591, 7349, 'Yes'), (4555, 193594, 'No'), (16449, 118598, 'Yes'), (22806, 158635, 'Yes'), (22806, 64286, 'No'), (3705, 176958, 'No')]"
8203,82476,deu,"[(16449, 162707, 'No'), (16449, 159651, 'No'), (4555, 193594, 'No'), (8782, 120872, 'Yes'), (22806, 158635, 'Yes'), (25453, 193586, 'Yes'), (16449, 118598, 'Yes'), (22806, 64286, 'No'), (22806, 187902, 'No'), (7496, 18473, 'Yes')]"
8203,196229,deu,"[(4591, 7349, 'Yes'), (22806, 157323, 'No'), (25453, 193586, 'Yes'), (4555, 193594, 'No'), (3705, 176956, 'No'), (22806, 157865, 'Yes'), (3705, 176954, 'No'), (3705, 176957, 'No'), (22806, 173368, 'Yes'), (22806, 158635, 'Yes')]"
8203,12328,deu,"[(8707, 81414, 'No'), (7496, 83000, 'Yes'), (22806, 64286, 'No'), (4555, 193594, 'No'), (16449, 118598, 'Yes'), (22806, 158635, 'Yes'), (22806, 187902, 'No'), (16449, 161461, 'No'), (25453, 193586, 'Yes'), (22806, 157865, 'Yes')]"
8203,42688,deu,"[(7496, 83000, 'Yes'), (22806, 187902, 'No'), (22806, 157322, 'No'), (22806, 162883, 'Yes'), (22806, 157865, 'Yes'), (3705, 167395, 'No'), (25453, 193586, 'Yes'), (3705, 180390, 'No'), (22806, 158635, 'Yes'), (4555, 193594, 'No')]"
8203,153964,deu,"[(7496, 18473, 'Yes'), (22806, 157865, 'Yes'), (22806, 64286, 'No'), (3705, 180390, 'No'), (22806, 187902, 'No'), (22806, 158635, 'Yes'), (4555, 193594, 'No'), (22806, 191557, 'No'), (16449, 118598, 'Yes'), (9690, 17193, 'Yes')]"
8203,27752,deu,"[(7496, 18473, 'Yes'), (22806, 157865, 'Yes'), (25453, 193586, 'Yes'), (4555, 193594, 'No'), (3705, 176954, 'No'), (3705, 177038, 'No'), (3705, 176957, 'No'), (22806, 158635, 'Yes'), (22806, 187902, 'No'), (22806, 173368, 'Yes')]"
8203,44169,deu,"[(22806, 187902, 'No'), (3705, 180390, 'No'), (22806, 157865, 'Yes'), (3705, 167395, 'No'), (22806, 162883, 'Yes'), (16449, 118598, 'Yes'), (22806, 158635, 'Yes'), (25453, 193586, 'Yes'), (16449, 159651, 'No'), (4555, 193594, 'No')]"
8203,155855,deu,"[(25453, 193586, 'Yes'), (3705, 176954, 'No'), (22806, 158635, 'Yes'), (585, 113990, 'No'), (22806, 187902, 'No'), (22806, 162883, 'Yes'), (7496, 18473, 'Yes'), (4555, 193594, 'No'), (3705, 176957, 'No'), (22806, 157865, 'Yes')]"
8203,201389,deu,"[(25453, 193586, 'Yes'), (3705, 176957, 'No'), (4555, 193594, 'No'), (22806, 157865, 'Yes'), (22806, 187902, 'No'), (22806, 173368, 'Yes'), (16449, 118598, 'Yes'), (3705, 176954, 'No'), (3705, 167395, 'No'), (22806, 158635, 'Yes')]"
8203,132534,deu,"[(16449, 118598, 'Yes'), (3705, 176954, 'No'), (25453, 193586, 'Yes'), (17514, 165187, 'No'), (4591, 7349, 'Yes'), (4555, 193594, 'No'), (3705, 167395, 'No'), (3705, 176957, 'No'), (22806, 157865, 'Yes'), (22806, 158635, 'Yes')]"
8203,154008,deu,"[(8782, 164909, 'Yes'), (3705, 176957, 'No'), (22806, 173368, 'Yes'), (3705, 79706, 'No'), (22806, 158635, 'Yes'), (3705, 176958, 'No'), (4555, 193594, 'No'), (3705, 176954, 'No'), (4591, 7349, 'Yes'), (22806, 157865, 'Yes')]"
8203,126117,deu,"[(4555, 193594, 'No'), (7496, 83000, 'Yes'), (22806, 157865, 'Yes'), (25453, 193430, 'No'), (3705, 50655, 'No'), (22806, 158635, 'Yes'), (25453, 193586, 'Yes'), (22806, 173368, 'Yes'), (22806, 187902, 'No'), (20050, 193423, 'No')]"
8203,34346,deu,"[(3705, 180390, 'No'), (25453, 193430, 'No'), (25453, 193586, 'Yes'), (22806, 157865, 'Yes'), (22806, 162883, 'Yes'), (7496, 83000, 'Yes'), (4555, 193594, 'No'), (22806, 158635, 'Yes'), (3705, 176958, 'No'), (22806, 187902, 'No')]"
8203,198721,deu,"[(3705, 176954, 'No'), (4591, 7349, 'Yes'), (7496, 83000, 'Yes'), (20050, 193423, 'No'), (25453, 193586, 'Yes'), (22806, 157865, 'Yes'), (25453, 193430, 'No'), (3705, 176957, 'No'), (22806, 158635, 'Yes'), (4555, 193594, 'No')]"
8203,67953,deu,"[(22806, 157865, 'Yes'), (22806, 158635, 'Yes'), (3705, 167395, 'No'), (4555, 193594, 'No'), (22912, 186310, 'No'), (9690, 17193, 'Yes'), (22806, 187902, 'No'), (3705, 180390, 'No'), (22806, 162883, 'Yes'), (25453, 193586, 'Yes')]"
10251,134970,hbs,"[(3705, 176956, 'No'), (22806, 158635, 'Yes'), (4591, 7349, 'Yes'), (22806, 173368, 'Yes'), (4555, 193594, 'No'), (3705, 176958, 'No'), (11027, 118912, 'Yes'), (11027, 84344, 'No'), (17514, 165187, 'No'), (22806, 157865, 'Yes')]"
10251,41076,hbs,"[(22806, 157865, 'Yes'), (22806, 173368, 'Yes'), (3705, 176958, 'No'), (3705, 167395, 'No'), (7496, 83000, 'Yes'), (4591, 7349, 'Yes'), (4555, 193594, 'No'), (22806, 158635, 'Yes'), (3705, 176954, 'No'), (3705, 176957, 'No')]"
10251,202538,hbs,"[(22806, 158635, 'Yes'), (4883, 124552, 'Yes'), (3705, 176957, 'No'), (4555, 193594, 'No'), (22806, 187902, 'No'), (7496, 18473, 'Yes'), (2811, 168346, 'No'), (4591, 26675, 'Yes'), (3705, 176954, 'No'), (22806, 173368, 'Yes')]"
